Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2023,12,Female,16,Right-Handed,163,22,160,1,Car,15,0.4,30,Swimming,1000,1000,1000,1000,600,700,21,Right foot,55,55,Same length,September,Spring,Yes,No,Poultry,Water,Other,7.0,10.0,3,Yes - other,Text messaging,30,50,10,7,7,3,6,1,10,7,8,3,0,0,Some,Graduate degree,Pop,Freeze time,Happy,Sports person,Health
USA,NY,2017,6,Male,11,Right-Handed,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2018,9,Female,14,Left-Handed,164.1,21,1.7,3,Car,15,0.5,42,Swimming,807,497,936,497,428,513,21,Same length,70,65,Index finger,August,Summer,Yes,No,Desserts,Water,Art,6.0,8.0,4,Yes - other,Text messaging,5,20,0,0,8,4,0,10,10,9,10,8,0,2,A lot,Some college,Other,Invisibility,Healthy,Friend,International aid
USA,NY,2022,12,Female,17,Right-Handed,162,25,161,1,Walk,6,0.323,31,None,885,775,500,500,1000,1000,25,Same length,95,100,Ring finger,January,Fall,Yes,Yes,Pizza/Pasta,Water,Music,7.0,9.0,2,Yes - broadband connection,Text messaging,22,29,2,4,10,7,0,5,14,14,14,10,9,3,Some,Undergraduate degree,Punk rock,Telepathy,Happy,Relative,Education/Youth development
USA,NY,2016,12,Male,18,Ambidextrous,188,28,198,1,Rail (Train/Tram/Subway),50,0.608,49,Basketball,75,75,75,75,80,80,28,Same length,10.1,11.6,Ring finger,February,Summer,No,No,Pizza/Pasta,Sports drink,History,7.0,10.0,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,5,2,0,0,0,6,0,4,0,0,0,0,0,None,Graduate degree,Rap/Hip hop,Telepathy,Happy,Sports person,Education/Youth development
USA,NY,2013,12,Male,16,Right-Handed,164,27,172,1,Rail (Train/Tram/Subway),20,0.327,50,Soccer,850,770,850,920,980,1000,27.5,Left foot,100,98,Index finger,April,Summer,No,No,Pizza/Pasta,Water,History,6.0,12.0,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",120,200,9,1,10,9,9,1,8,3,7,1,0,1,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,International aid
USA,NY,2021,12,Male,17,Right-Handed,173,25,171,2,Bus,45,0.323,41,Athletics,,,,,,,25,Same length,77,81,Ring finger,July,Summer,No,No,No favorite,Water,Physical education,6.0,8.0,4,Yes - broadband connection,In person,25,25,30,0,3,1,7,20,10,2,30,1,2,10,Some,Other,Rap/Hip hop,Fly,Rich,Other,Environment
USA,NY,2014,11,Male,17,Right-Handed,,,,2,Car,5,0.393,42,Soccer,500,500,500,500,500,1000,,Same length,10.1,9.3,Index finger,January,Fall,Yes,No,Meat,Water,Physical education,7.5,10.5,7,Yes - broadband connection,Text messaging,500,515,15,12,25,1,40,20,45,48,40,29,20,1,A lot,Graduate degree,Country,Super strength,Happy,Sports person,"Arts, culture, sports"
USA,NY,2022,12,Male,17,Right-Handed,186.5,28,189,1,Walk,15,0.454,64,Other,800,600,700,800,1000,1000,29,Same length,90,90,Same length,February,Fall,Yes,No,,Other,Geography,7.0,11.0,5,Yes - broadband connection,In person,30,30,12,1,7,1,3,15,10,2,3,0,0,1,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,International aid
USA,NY,2022,12,Female,18,Right-Handed,170,24,158,1,Bus,33,0.278,33,Soccer,824,626,203,155,898,947,25,Left foot,8,7.7,Index finger,May,Spring,Yes,No,Meat,Water,,6.0,8.0,2,Yes - other,In person,150,150,15,1,4,20,2,1,4,14,10,5,3,3,Very little,Graduate degree,,Fly,Healthy,Relative,Health
